target,model,exact_score_log_loss,outcome_log_loss,predictive_nll
score_90,smoothed_baseline,3.21344707291894,1.0680182174562953,
score_90,regularized_poisson,2.9235474145099207,0.7696701569159319,
score_90,poisson_dc_blend,2.921420800541545,0.7751007878090488,
score_90,dixon_coles,2.923726582927735,0.7819085427242672,
shots,baseline,,,3.2919800097858243
shots,poisson,,,3.049206400654518
shots,negative_binomial,,,3.009037122371193
shots_on_target,baseline,,,2.4058970901597747
shots_on_target,poisson,,,2.0876310820068418
shots_on_target,negative_binomial,,,2.201009316818203
corners,baseline,,,2.4415587933907834
corners,poisson,,,2.2503640208038487
corners,negative_binomial,,,2.277433277411843
fouls,baseline,,,2.673596315249528
fouls,poisson,,,2.7920953867558382
fouls,negative_binomial,,,2.771201449042096
offsides,baseline,,,1.5647632086226142
offsides,poisson,,,1.5594354674052873
offsides,negative_binomial,,,1.5604172417181814
yellow_cards,baseline,,,1.4453863167209944
yellow_cards,poisson,,,1.4130090824885997
yellow_cards,negative_binomial,,,1.4133504012502618
saves,baseline,,,2.0917741360259576
saves,poisson,,,2.0006915243373125
saves,negative_binomial,,,2.0537824694181945
